        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844      0.5908    0.800989 pm   0.00462006     5.09615 %        9.30972
 K892_1_p1_b        3.14        3.14    -3.11581 pm    0.0149964   0.0273715 rad       1.8252
 K892_1_m1_a       0.196      0.1372    0.192728 pm   0.00686734     1.66922 %       0.476409
 K892_1_m1_b        -1.7        -1.7    -1.54907 pm    0.0327063    0.150928 rad      4.61465
  K800_0_0_a        1.12       1.456     1.13881 pm    0.0164397     1.67926 %        1.14404
  K800_0_0_b         2.3         2.3      1.8124 pm    0.0180409    0.487601 rad      27.0276
 K1410_1_0_a       0.119      0.1547    0.124416 pm   0.00788444     4.55124 %        0.68692
 K1410_1_0_b        0.81        0.81     1.31746 pm    0.0953504    0.507455 rad        5.322
K1410_1_p1_a       0.123       0.123   0.0883028 pm     0.012287     28.2091 %         2.8239
K1410_1_p1_b       -1.04       -1.04    -1.23697 pm     0.155306    0.196969 rad      1.26826
K1410_1_m1_a       0.036       0.036     0.02181 pm    0.0134519     39.4167 %        1.05487
K1410_1_m1_b        0.67        0.67    0.506976 pm     0.487231    0.163024 rad     0.334592
 K1430_0_0_a        0.89       1.157      1.1049 pm     0.015717     24.1463 %        13.6732
 K1430_0_0_b       -2.17       -2.17    -2.10298 pm    0.0205536   0.0670203 rad      3.26076
 K1430_2_0_a        4.66       3.262     4.30522 pm    0.0692493     7.61334 %        5.12325
 K1430_2_0_b       -0.32       -0.32   -0.280924 pm     0.022728   0.0390757 rad      1.71928
K1430_2_p1_a        4.65       3.255     4.27569 pm    0.0712621     8.04976 %        5.25264
K1430_2_p1_b       -3.05       -3.05     -3.0452 pm    0.0340592  0.00479839 rad     0.140884
K1430_2_m1_a        1.26       1.638     1.02351 pm    0.0989238     18.7688 %         2.3906
K1430_2_m1_b       -1.92       -1.92    -1.91862 pm    0.0928987  0.00137506 rad    0.0148017
 K1780_3_0_a        16.8       21.84     21.0772 pm      1.79196     25.4594 %        2.38687
 K1780_3_0_b       -1.43       -1.43    -1.32122 pm    0.0936863    0.108779 rad      1.16109
K1780_3_p1_a        19.1       24.83     20.5476 pm       2.0746     7.57925 %       0.697791
K1780_3_p1_b        2.03        2.03     1.98159 pm     0.123281   0.0484068 rad     0.392653
K1780_3_m1_a        10.2       13.26     12.0097 pm      2.20569     17.7417 %       0.820449
K1780_3_m1_b        1.55        1.55     1.73049 pm     0.246066    0.180487 rad     0.733493
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844      1.0972    0.800991 pm   0.00489327     5.09585 %        8.78941
 K892_1_p1_b        3.14      4.7108    -3.11581 pm    0.0168066   0.0273747 rad      1.62881
 K892_1_m1_a       0.196      0.1372    0.192726 pm   0.00678343     1.67035 %        0.48263
 K892_1_m1_b        -1.7     -3.2708    -1.54907 pm    0.0339375    0.150926 rad      4.44717
  K800_0_0_a        1.12       1.456      1.1388 pm    0.0176846     1.67817 %        1.06281
  K800_0_0_b         2.3      3.8708      1.8124 pm     0.020821    0.487599 rad      23.4186
 K1410_1_0_a       0.119      0.1547    0.124416 pm    0.0073576     4.55114 %        0.73609
 K1410_1_0_b        0.81        0.81     1.31752 pm    0.0846309    0.507518 rad      5.99684
K1410_1_p1_a       0.123      0.1599  -0.0883028 pm    0.0124465     171.791 %        16.9768
K1410_1_p1_b       -1.04     -2.6108     1.90446 pm     0.153228     2.94446 rad      19.2162
K1410_1_m1_a       0.036       0.036   0.0218379 pm    0.0146657     39.3392 %       0.965665
K1410_1_m1_b        0.67      2.2408    0.506143 pm     0.633967    0.163857 rad     0.258462
 K1430_0_0_a        0.89       1.157     1.10492 pm    0.0163917     24.1485 %        13.1117
 K1430_0_0_b       -2.17       -2.17    -2.10296 pm    0.0217894   0.0670414 rad      3.07679
 K1430_2_0_a        4.66       3.262     4.30515 pm     0.074563     7.61481 %        4.75906
 K1430_2_0_b       -0.32     -1.8908   -0.280905 pm    0.0224194   0.0390949 rad       1.7438
K1430_2_p1_a        4.65       3.255     4.27565 pm    0.0777296     8.05054 %        4.81606
K1430_2_p1_b       -3.05     -1.4792     -3.0452 pm     0.036132  0.00480434 rad     0.132966
K1430_2_m1_a        1.26       1.638     1.02359 pm     0.107933      18.763 %        2.19038
K1430_2_m1_b       -1.92   -0.349204     -1.9186 pm     0.102281   0.0013963 rad    0.0136516
 K1780_3_0_a        16.8       21.84     21.0756 pm        1.933     25.4499 %        2.21189
 K1780_3_0_b       -1.43     -3.0008    -1.32118 pm    0.0890791     0.10882 rad      1.22161
K1780_3_p1_a        19.1       13.37     20.5477 pm      2.15336     7.57965 %       0.672305
K1780_3_p1_b        2.03      3.6008     1.98162 pm     0.122007   0.0483795 rad     0.396532
K1780_3_m1_a        10.2       13.26     12.0082 pm      2.50023     17.7274 %       0.723213
K1780_3_m1_b        1.55        1.55     1.73061 pm     0.239893    0.180615 rad     0.752898
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844       0.844    0.821819 pm   0.00515182     2.62804 %        4.30539
 K892_1_p1_b        3.14      4.7108    -3.11034 pm    0.0171675   0.0328441 rad      1.91316
 K892_1_m1_a       0.196       0.196    0.197929 pm     0.007199    0.984238 %       0.267969
 K892_1_m1_b        -1.7     -3.2708    -1.52569 pm       0.0348    0.174312 rad      5.00896
  K800_0_0_a        1.12        1.12     1.06418 pm    0.0184394     4.98389 %        3.02718
  K800_0_0_b         2.3      3.8708     1.91613 pm    0.0221599    0.383866 rad      17.3225
 K1410_1_0_a       0.119       0.119     0.44426 pm     0.022601     273.328 %        14.3914
 K1410_1_0_b        0.81        0.81     1.80943 pm    0.0344804    0.999427 rad      28.9854
K1410_1_p1_a       0.123       0.123  -0.0380064 pm    0.0150848       130.9 %        10.6734
